target_icd,rank,prs_icd,auc
I69,2,I71,0.5460375433100529
I69,3,I69,0.5417113320212088
I69,4,I48,0.5415611086589106
I69,5,I63,0.5405525759453413
I69,6,E11,0.5281897191618371
I69,7,I21,0.5275929837965493
I69,8,I70,0.5266633551947557
I69,9,E66,0.5249346687089939
I69,10,O26,0.5248662994065277
I70,1,I71,0.5732762687818228
I70,2,I70,0.5689707616571251
I70,3,I20,0.5624869178965215
I70,4,I25,0.5606044359246403
I70,5,I10,0.5574260607856436
I70,6,I21,0.5527841153045406
I70,7,E78,0.5519795264766879
I70,8,E11,0.5428713650210132
I70,9,I48,0.5426295106309732
I70,10,F17,0.5353804964682632
I71,1,I71,0.5577115873441844
I71,2,I10,0.5522629994903976
I71,3,I48,0.5351650548304636
I71,4,G43,0.5346405725178972
I71,5,F33,0.5302617821890719
I71,6,E78,0.5292302653255797
I71,7,F60,0.526325310309605
I71,8,F10,0.5259566924283869
I71,9,F32,0.5250555424506042
I71,10,I70,0.5241059935002139
I72,1,I71,0.5408069264031817
I72,2,I10,0.5370048564617458
I72,3,G43,0.5361932928011256
I72,4,I63,0.5349944072649924
I72,5,O03,0.5302567844166303
I72,6,I48,0.5292602385007791
I72,7,F33,0.5290617490869174
I72,8,I50,0.5286249276563723
I72,9,I72,0.5273455368771454
I72,10,I42,0.5273205699968696
I80,1,I26,0.5920992857438373
I80,2,I80,0.5910546210400781
I80,3,I87,0.540170871539398
I80,4,I83,0.5398819097589137
I80,5,E66,0.5232338539141458
I80,6,M17,0.5225924683192295
I80,7,I71,0.5225402538310457
I80,8,I48,0.5225231013104273
I80,9,I63,0.5214050340102832
I80,10,K80,0.520119616185212
I83,1,I83,0.6320784220002761
I83,2,I87,0.6095628250786346
I83,3,I80,0.5244883812955761
I83,4,M17,0.5214182628914282
I83,5,I48,0.5160856381443677
I83,6,K43,0.512348830914568
I83,7,K42,0.5119085450157523
I83,8,I50,0.5114409594311154
I83,9,I71,0.5113868040995201
I83,10,I26,0.510141933692057
I87,1,I83,0.5524282635017458
I87,2,I87,0.548078306718028
I87,3,M19,0.5329232143781768
I87,4,I48,0.5316253726834853
I87,5,M17,0.531558412739074
I87,6,I50,0.529590094814449
I87,7,I80,0.5289856947621612
I87,8,E66,0.5253816873389576
I87,9,E11,0.5237927217536208
I87,10,O03,0.5232030728129435
J33,1,J33,0.6360694571112839
J33,2,J45,0.5696061387687404
J33,3,J40,0.5277734940369276
J33,4,D51,0.5228912042867405
J33,5,L40,0.5223545704427475
J33,6,M06,0.5218009572542477
J33,7,E10,0.5174922993389115
J33,8,M05,0.5174358564326845
J33,9,L97,0.5166455934081956
J33,10,I10,0.516595148355533
J35,1,J35,0.5568965093792007
J35,2,E11,0.5330950404656841
J35,3,M16,0.5322985529578834
