target_icd,rank,prs_icd,auc,method
I50,9,M75,0.5416773786488216,LDpred2
I50,10,I48,0.5416348991696518,LDpred2
I63,1,I10,0.551682228731514,LDpred2
I63,2,I71,0.5449618946643061,LDpred2
I63,3,M79,0.5372393922390303,LDpred2
I63,4,I11,0.5336196169082901,LDpred2
I63,5,E11,0.5319695225604687,LDpred2
I63,6,I20,0.5315428112904546,LDpred2
I63,7,I63,0.5303621903450892,LDpred2
I63,8,I69,0.5297086564603763,LDpred2
I63,9,I21,0.528190939720128,LDpred2
I63,10,I25,0.5278780331803304,LDpred2
I69,1,I71,0.5516336568294286,LDpred2
I69,2,I10,0.5487653166540117,LDpred2
I69,3,I63,0.5451214162547237,LDpred2
I69,4,I50,0.5418946615239407,LDpred2
I69,5,E66,0.5414064994751745,LDpred2
I69,6,E11,0.5402575185916075,LDpred2
I69,7,I21,0.5394260552784004,LDpred2
I69,8,I48,0.5390370517578047,LDpred2
I69,9,M79,0.5389941445163742,LDpred2
I69,10,I20,0.53703899656411,LDpred2
I70,1,I70,0.551090832986055,LDpred2
I70,2,I71,0.5497712164561209,LDpred2
I70,3,I25,0.5467422516491863,LDpred2
I70,4,I20,0.5451392239975167,LDpred2
I70,5,I10,0.5444885157908227,LDpred2
I70,6,I21,0.54015922049581,LDpred2
I70,7,E66,0.5396950838999462,LDpred2
I70,8,E11,0.5379333176501663,LDpred2
I70,9,E78,0.5365417146801782,LDpred2
I70,10,M79,0.5348834169885017,LDpred2
I71,1,I71,0.5489298424824609,LDpred2
I71,2,I48,0.5435240217936871,lassosum2
I71,3,G45,0.538257932686537,LDpred2
I71,4,I10,0.5332157104931013,LDpred2
I71,5,S92,0.5326098294772428,LDpred2
I71,6,I83,0.5318095107187149,LDpred2
I71,7,M19,0.5293999932202508,C+T
I71,8,J12,0.5287836307951762,lassosum2
I71,9,I88,0.52703647371991,LDpred2
I71,10,W19,0.526936058240081,LDpred2
I72,1,I71,0.5441849063517853,LDpred2
I72,2,I10,0.5436653018602597,LDpred2
I72,3,I63,0.5421499904158247,LDpred2
I72,4,G43,0.5404219822335236,LDpred2
I72,5,M79,0.5394344311313461,LDpred2
I72,6,I60,0.5391877990265744,LDpred2
I72,7,M51,0.5366249908063455,LDpred2
I72,8,I48,0.5333637184050695,lassosum2
I72,9,I67,0.5310361812899004,LDpred2
I72,10,G44,0.5306829547316639,LDpred2
I80,1,I26,0.573516029642155,LDpred2
I80,2,I82,0.5696318077713001,LDpred2
I80,3,I80,0.566406478390998,lassosum2
I80,4,I87,0.5489998085604694,LDpred2
I80,5,I83,0.5489496803701974,LDpred2
I80,6,M79,0.5421228406633278,LDpred2
I80,7,E66,0.5394273252101964,LDpred2
I80,8,I71,0.5362150494580809,LDpred2
I80,9,F39,0.529122628620381,LDpred2
I80,10,F32,0.5288699468633616,LDpred2
I83,1,I83,0.6004834893324495,LDpred2
I83,2,I87,0.5897805062713731,LDpred2
I83,3,E66,0.5272536244347498,LDpred2
I83,4,I80,0.5240468507359454,LDpred2
I83,5,M17,0.5228744654044861,LDpred2
I83,6,I48,0.5196828407654537,lassosum2
I83,7,M79,0.5168195511439736,LDpred2
I83,8,K42,0.5165525266014704,LDpred2
I83,9,I86,0.5163374205741219,LDpred2
I83,10,I49,0.5154616717860122,LDpred2
I87,1,E66,0.554830263278785,LDpred2
I87,2,I83,0.5490152256701617,LDpred2
I87,3,I87,0.5429072898783457,LDpred2
I87,4,M17,0.5328180064823062,LDpred2
I87,5,M79,0.5309107436616074,LDpred2
I87,6,I71,0.5265851460274672,LDpred2
I87,7,E11,0.524991689986291,LDpred2
I87,8,I80,0.5244098870512612,LDpred2
I87,9,I50,0.5239597994689456,LDpred2
I87,10,I10,0.5229909025183832,LDpred2
J33,1,J33,0.5972809932887104,LDpred2
J33,2,J32,0.573735556543763,LDpred2
J33,3,J45,0.5651622886375409,lassosum2
J33,4,J30,0.5491011905646984,lassosum2
J33,5,J34,0.5400213971118288,LDpred2
J33,6,H10,0.5334309069348905,LDpred2
J33,7,J40,0.533364212550834,lassosum2
J33,8,L20,0.5311327351316257,lassosum2
J33,9,E10,0.5266360434884321,LDpred2
J33,10,L30,0.5246850979568094,lassosum2
J35,1,J35,0.5425327383723864,LDpred2
J35,2,N18,0.5321266785760804,C+T
J35,3,J31,0.5277017151948242,lassosum2
J35,4,I86,0.5275150069770842,lassosum2
J35,5,D50,0.5267864005006944,LDpred2
J35,6,S72,0.5266858425509024,C+T
J35,7,I11,0.5260130585326608,lassosum2
J35,8,D03,0.5254841104455923,LDpred2
J35,9,I45,0.5249800236934528,lassosum2
J35,10,B00,0.5246381135824925,lassosum2
J40,1,E66,0.5297230640075112,LDpred2
J40,2,M51,0.5289299884810748,LDpred2
J40,3,M79,0.528924299211132,LDpred2
J40,4,M47,0.5273112729901924,LDpred2
J40,5,M75,0.5260128518328053,LDpred2
J40,6,J01,0.5236854252057719,LDpred2
J40,7,J32,0.5230871284714461,LDpred2
J40,8,J06,0.5224818375046202,LDpred2
J40,9,I10,0.5222678264630899,LDpred2
J40,10,M50,0.5221140751404855,LDpred2
J42,1,J44,0.5608276387352606,LDpred2
J42,2,M79,0.5605050465140642,LDpred2
J42,3,M51,0.5574732644885113,LDpred2
J42,4,E66,0.5565778173321185,LDpred2
J42,5,M47,0.5520311219914392,LDpred2
J42,6,F39,0.5499987681885196,LDpred2
J42,7,M75,0.5486450085030127,LDpred2
J42,8,M23,0.548188592350435,LDpred2
J42,9,F32,0.5454101694096902,LDpred2
J42,10,M94,0.5447607153109056,LDpred2
J43,1,J44,0.5624064099341097,LDpred2
J43,2,F10,0.5554204651313334,LDpred2
J43,3,M79,0.5543088333855051,LDpred2
J43,4,J43,0.5519387342582999,LDpred2
J43,5,M75,0.5514605077306872,LDpred2
J43,6,F39,0.5497220166875477,LDpred2
J43,7,F32,0.5496859690592905,LDpred2
J43,8,M51,0.5489096623222466,LDpred2
J43,9,F17,0.5461661890679194,LDpred2
J43,10,M47,0.5454474318254843,LDpred2
J44,1,M79,0.5641965940593743,LDpred2
J44,2,F10,0.56207296700715,LDpred2
J44,3,E66,0.5594427770484511,LDpred2
J44,4,F39,0.5562744301502429,LDpred2
J44,5,F32,0.5562014516797891,LDpred2
J44,6,J44,0.5539871489989278,LDpred2
J44,7,M75,0.5523066190414038,LDpred2
J44,8,J20,0.5490255241170314,LDpred2
J44,9,I71,0.5484873422793347,LDpred2
J44,10,M51,0.5483730922087605,LDpred2
J45,1,J45,0.560614501548963,LDpred2
J45,2,J30,0.5421740403793066,LDpred2
J45,3,J32,0.5379805721206659,LDpred2
J45,4,H10,0.5374220909276557,LDpred2
J45,5,J33,0.5360229410292345,LDpred2
J45,6,E66,0.5337063923507118,LDpred2
J45,7,J01,0.5315972734102188,LDpred2
J45,8,M79,0.5309730495014496,LDpred2
J45,9,L20,0.5306771505488785,LDpred2
J45,10,J20,0.5295737783426117,LDpred2
