icd,case_num,autogluon,tabpfn,glm,superlearner,unsemble,single,description
F20,975,0.5401290960513022,0.5280450798501714,0.5448729318827952,0.5448729318827952,0.5385275090603675,0.5610593475093817,Schizophrenia
N12,2335,0.5355292369741965,0.5425618746668778,0.5452751893989622,0.545559780676572,0.5017866771475719,0.5394427992284156,"Tubulo-interstitial nephritis, not spcf as acute or chronic"
I42,5496,0.5555250808768678,0.5605916439767347,0.5560286601958723,0.5560286601958723,0.47689795420138,0.5520874885425916,Cardiomyopathy
F22,624,0.5295634641036784,0.5241650674296896,0.5332949113055659,0.5346162496833831,0.5110556065527639,0.5609305624881336,Delusional disorders
K81,2234,0.5597844962419188,0.5689100901880294,0.5594391955963507,0.5598713832214786,0.4593838733512816,0.5715043151039962,Cholecystitis
B00,5370,0.4935989745468574,0.4952762367035108,0.4989069087867305,0.4995464732549532,0.5197290890894856,0.5419166425691314,Herpesviral [herpes simplex] infections
L90,9094,0.5201811076374597,0.5417693707600774,0.5261359826928614,0.5275703262791924,0.5192348597429204,0.5237775426442437,Atrophic disorders of skin
O36,1604,0.5003170818054926,0.5124731280163246,0.5271059740163327,0.5224444296576137,0.5297170093350969,0.5529334655076662,Maternal care for other fetal problems
J02,22357,0.5335434909688137,0.5169802537946019,0.537225820605806,0.5379936144040417,0.4786036587803727,0.5299241542199414,Acute pharyngitis
L72,10929,0.5321322551724812,0.5320321062832066,0.5387052534681107,0.5388100031151065,0.5201732690902166,0.5346806339514988,Follicular cysts of skin and subcutaneous tissue
S62,4526,0.5488537643669834,0.5388083282150096,0.5487650678947515,0.5487711320212341,0.5322377279158796,0.5453437413529554,Fracture at wrist and hand level
L03,19193,0.5375995184045466,0.5290106672989409,0.5397449074131032,0.5397440769740116,0.5140216445576181,0.5347482785839068,Cellulitis and acute lymphangitis
C85,1325,0.52834081002862,0.5321299001317349,0.538699949038621,0.5382555469125316,0.509077817661572,0.5397338841446392,Oth and unspecified types of non-Hodgkin lymphoma
H26,11473,0.5403336190432388,0.5397169763533325,0.545265918866554,0.54549119297789,0.5502446613781049,0.5533454188216101,Other cataract
H93,15939,0.5181735689108123,0.5152855540344491,0.5192734906793112,0.5180347622280951,0.5089893473225803,0.5315761476648759,"Other disorders of ear, not elsewhere classified"
N62,1937,0.5689793958027716,0.5948377498809551,0.5828548870933279,0.5801348598746509,0.5810972787725579,0.5893068598959265,Hypertrophy of breast
H43,12615,0.519014506206629,0.5193118580341001,0.5251997261490838,0.5246900129354763,0.5091552144336046,0.5371003099350596,Disorders of vitreous body
H81,7602,0.5331377002606646,0.5283086128460052,0.5300290843507107,0.5370093124319504,0.4846076527204601,0.5375198205827275,Disorders of vestibular function
